Date,Temp
2016-01-01,47.0
2016-02-01,55.2
2016-03-01,61.2
2016-04-01,68.1
2016-05-01,72.5
2016-06-01,84.0
2016-07-01,87.4
2016-08-01,85.8
2016-09-01,81.5
2016-10-01,74.1
2016-11-01,63.5
2016-12-01,49.7
2017-01-01,51.2
2017-02-01,60.6
2017-03-01,65.7
2017-04-01,69.3
2017-05-01,75.4
2017-06-01,82.5
2017-07-01,86.6
2017-08-01,84.4
2017-09-01,80.6
2017-10-01,69.6
2017-11-01,62.4
2017-12-01,49.7
2018-01-01,45.8
2018-02-01,51.1
2018-03-01,63.3
2018-04-01,61.6
2018-05-01,79.0
2018-06-01,85.7
2018-07-01,88.8
2018-08-01,85.2
2018-09-01,78.1
2018-10-01,66.2
2018-11-01,52.5
2018-12-01,48.4
2019-01-01,45.8
2019-02-01,50.2
2019-03-01,55.0
2019-04-01,66.0
2019-05-01,73.4
2019-06-01,79.9
2019-07-01,84.6
2019-08-01,87.4
2019-09-01,85.5
2019-10-01,65.5
2019-11-01,53.5
2019-12-01,50.0
2020-01-01,50.3
2020-02-01,49.6
2020-03-01,63.4
2020-04-01,64.6
2020-05-01,73.8
2020-06-01,81.9
2020-07-01,85.7
2020-08-01,86.0
2020-09-01,74.7
2020-10-01,65.0
2020-11-01,60.4
2020-12-01,49.0
2021-01-01,47.5
2021-02-01,41.1
2021-03-01,61.4
2021-04-01,64.6
2021-05-01,71.8
2021-06-01,82.1
2021-07-01,84.7
2021-08-01,85.1
2021-09-01,80.5
2021-10-01,72.0
2021-11-01,57.7
2021-12-01,61.3
2022-01-01,45.8
2022-02-01,46.2
2022-03-01,58.5
2022-04-01,69.5
2022-05-01,77.9
2022-06-01,86.1
2022-07-01,91.8
2022-08-01,86.8
2022-09-01,80.6
2022-10-01,69.1
2022-11-01,55.0
2022-12-01,50.7
2023-01-01,52.1
2023-02-01,52.4
2023-03-01,60.7
2023-04-01,65.3
2023-05-01,75.6
2023-06-01,84.0
2023-07-01,89.3
2023-08-01,92.9
2023-09-01,84.6
2023-10-01,69.2
2023-11-01,57.8
2023-12-01,52.8
2024-01-01,43.0
2024-02-01,57.7
2024-03-01,61.8
2024-04-01,68.7
2024-05-01,77.3
2024-06-01,84.2
2024-07-01,85.1
2024-08-01,88.9
2024-09-01,79.3
2024-10-01,75.7
2024-11-01,61.7
2024-12-01,53.7
2025-01-01,42.9
2025-02-01,49.3
2025-03-01,64.0
2025-04-01,67.9
2025-05-01,74.1
2025-06-01,82.4
2025-07-01,85.5
2025-08-01,85.5
2025-09-01,80.8
2025-10-01,73.4
